"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","candidate_fibroblast_state","COL6A3",1042,1.37873438196095,69.3857965451056
"S1","candidate_fibroblast_state","FN1",1042,1.25871197262972,63.0518234165067
"S1","candidate_fibroblast_state","POSTN",1042,0.469456712751324,24.0882917466411
"S1","candidate_fibroblast_state","TNC",1042,0.173529550189411,10.3646833013436
"S1","candidate_fibroblast_state","THBS1",1042,0.820465438695805,42.8982725527831
"S1","candidate_fibroblast_state","THBS2",1042,0.78475425234351,44.8176583493282
"S1","candidate_fibroblast_state","LOX",1042,0.585930216953904,35.4126679462572
"S1","candidate_fibroblast_state","LOXL2",1042,0.114602369705602,8.25335892514395
"S1","candidate_fibroblast_state","MMP2",1042,1.84048933594541,72.552783109405
"S1","candidate_fibroblast_state","MMP14",1042,0.73162861906175,43.0902111324376
"S1","candidate_fibroblast_state","TIMP1",1042,1.83612884938629,82.1497120921305
"S1","candidate_fibroblast_state","TIMP2",1042,1.68337471238399,77.3512476007678
"S1","candidate_fibroblast_state","TIMP3",1042,1.15774712486965,60.3646833013436
"S1","candidate_fibroblast_state","FAP",1042,0.111064460375971,8.1573896353167
"S1","candidate_fibroblast_state","CTHRC1",1042,0.625586038510443,30.5182341650672
