"module","role","gene","filename","identifier_type","matched_symbol","present","audit_error"
"hippo_yap_taz","primary","TEAD4","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TEAD4",TRUE,""
"hippo_yap_taz","primary","LATS1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","LATS1",TRUE,""
"hippo_yap_taz","primary","LATS2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","LATS2",TRUE,""
"hippo_yap_taz","primary","STK3","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","STK3",TRUE,""
"hippo_yap_taz","primary","STK4","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","STK4",TRUE,""
"hippo_yap_taz","primary","SAV1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","SAV1",TRUE,""
"hippo_yap_taz","primary","NF2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","NF2",TRUE,""
"hippo_yap_taz","primary","AMOTL1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","AMOTL1",TRUE,""
"hippo_yap_taz","primary","AMOTL2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","AMOTL2",TRUE,""
"hippo_yap_taz","primary","AJUBA","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","AJUBA",TRUE,""
"hippo_yap_taz","primary","CTGF","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CCN2",TRUE,""
"hippo_yap_taz","primary","CYR61","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CCN1",TRUE,""
"hippo_yap_taz","primary","ANKRD1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ANKRD1",TRUE,""
"hippo_yap_taz","primary","AREG","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","AREG",TRUE,""
"actomyosin_rho","primary","RHOA","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","RHOA",TRUE,""
"actomyosin_rho","primary","RHOB","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","RHOB",TRUE,""
"actomyosin_rho","primary","RAC1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","RAC1",TRUE,""
"actomyosin_rho","primary","CDC42","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CDC42",TRUE,""
"actomyosin_rho","primary","ROCK1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ROCK1",TRUE,""
"actomyosin_rho","primary","ROCK2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ROCK2",TRUE,""
"actomyosin_rho","primary","MYLK","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","MYLK",TRUE,""
"actomyosin_rho","primary","MYL9","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","MYL9",TRUE,""
"actomyosin_rho","primary","ACTA2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ACTA2",TRUE,""
"actomyosin_rho","primary","TAGLN","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TAGLN",TRUE,""
"actomyosin_rho","primary","CNN1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CNN1",TRUE,""
"actomyosin_rho","primary","CNN2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CNN2",TRUE,""
"actomyosin_rho","primary","CFL1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CFL1",TRUE,""
"actomyosin_rho","primary","PFN1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PFN1",TRUE,""
"actomyosin_rho","primary","TPM1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TPM1",TRUE,""
